epoch,step,min,max,mean,std
1,10000,-0.02544158510863781,0.17836621403694153,0.035036083310842514,0.03915920853614807
2,20000,-0.03550853580236435,0.0013685108860954642,-0.007646605372428894,0.00794023834168911
3,30000,-0.04267384856939316,0.007164521608501673,-0.009975049644708633,0.010798546485602856
4,40000,-0.00995419081300497,0.0462975837290287,0.008255604654550552,0.012685703113675117
5,50000,-0.12265148758888245,0.08848565816879272,-0.002888618502765894,0.025344910100102425
6,60000,-0.09799028187990189,0.010842299088835716,-0.018081845715641975,0.02466856688261032
7,70000,-0.07598719745874405,0.00831803772598505,-0.013749011792242527,0.019114406779408455
8,80000,-0.0310896597802639,0.00036553037352859974,-0.008251897990703583,0.008490335196256638
9,90000,-0.050235316157341,0.0546310618519783,-0.0004005644004791975,0.015595534816384315
10,100000,-0.026269109919667244,0.0035473990719765425,-0.006613938137888908,0.0071166097186505795
